# search for patterns not included yet
1-1,basic
1-1-2,basic
1-2,basic
1-2-1,basic
1-2-1-2,basic
1-2-3-2,basic
1-6-3-2,basic
1,starter
1-2,starter
1-6b,starter
2-1,starter
1-bs-1,advanced
1-bs-1-2,advanced
6-5-2-1p,in-fighting
6-3,in-fighting
6-3p,in-fighting
4b-3b-2-1-2,in-fighting
rs-5,in-fighting
1-2-3b-pivot-4b-4-1,in-fighting
1-4b-3b-6-1,in-fighting
1-3-2,starter
1b-2,starter
1-2b,starter
1-2b-3,starter
4-1b,starter
4b-6-3-2,starter
bs-2,starter
1f-3,starter
6-2,starter
2-2,starter
1t-2,starter
1t-2t-3,starter
1p-2,ender
1p,evasive
1b-bs,evasive
4bpccw,evasive
3p,evasive
2-p-2,evasive
2-2-1bs,advanced
1-2b,advanced
2-rs-2-1-2b,advanced
2-1-2b,advanced
1-1-2b-3,advanced
1-2,advanced
2-2,advanced
2-3-2,advanced
2-3-2b,advanced
1-1-2b-3,advanced
6-1-2,advanced
6b-6-2-1,advanced
2-1-1-6-1,advanced
1-2-/1/-2,evasive
1-2-/1/-2-3-2,evasive
1-2-{3}-2,evasive
1-2-{3}-/2/-3-2,evasive
1-2-{3}-3-2-3,evasive
1-2-3-{2}-3-2,evasive
1-/1/-2-1-1,evasive
1-/1/-2-3-2,evasive
